Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,eaten,"yenmiş, yenilmiş",sıfat,B1,,I haven't eaten yet.,Henüz yemek yemedim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,eating,"yeme, yiyim, yemek",sıfat,B1,,I'm eating a pear.,Bir armut yiyorum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,eclipse,"tutulmak, tutulma, sönmek",fiil,B2,,Did you see the eclipse?,Tutulmayı gördün mü?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,ecologic,"ekolojik, bir çevredeki canlı organizmaların birbirine bağımlılığıyla ifade edilen",sıfat,B2,,The empirical results of the study were remarkably ecologic.,Çalışmanın ampirik sonuçlarının son derece ekolojik olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,ecological,"çevre, çevrebilimsel, ekolojik",sıfat,C1,,The world's tropical rainforests are critical links in the ecological chain of life on the planet.,"Dünyadaki tropikal yağmur ormanları, gezegende yaşamın ekolojik zincirine kritik bağlantılıdır."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,economic,"ekonomik, iktisadi, hesaplı",sıfat,B2,,It doesn't make economic sense.,Ekonomik açıdan anlamsız.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,education,"öğretim, eğitim, öğrenim",isim,B2,,He had a classic education.,"O, klasik bir eğitim aldı."
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,educational,"eğitsel, eğitimsel, eğitici",sıfat,C1,,I found the field trip very educational.,Saha gezisini çok eğitici buldum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,effect,"tesir, etki, etkisi olmak",isim,B1,,How did this effect you?,Bu seni nasıl etkiledi?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,effective,"efektif, etkileyici, etkili",sıfat,B2,,I wasn't very effective.,Çok etkili değildim.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),effectively,"etkili bir şekilde, etkileyici, etkin olarak",zarf,C1,,"Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others.",Geçen yıl tek başıma o kadar uzun bir zaman geçirdim ki diğerleriyle etkili şekilde nasıl iletişim kuracağımı neredeyse unuttum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,effects,"eşya, efekt, kişisel eşyalar",isim,B2,,There were no side effects.,Hiçbir yan etki yoktu.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,efficacy,"efikasite, etkililik, fayda",isim,B2,,The investigation highlighted the critical role of efficacy.,Soruşturma efikasite kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,efficiency,"liyakat, yeterlik, hızlı ve verimli çalışma",isim,C1,,The investigation highlighted the critical role of efficiency.,Soruşturma liyakat kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,efficient,"etkili, liyakatli, verimli",sıfat,B2,,I think I was efficient.,Sanırım verimliydim.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),efficiently,"yeterli olarak, verimli biçimde, etkin",zarf,C1,,You have to use your time efficiently.,Vaktini verimli kullanmalısın.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,effort,"efor, çaba, gayret",isim,B1,,It's a group effort.,Bu bir grup çabasıdır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,efforts,mesai,isim,B2,,His efforts were in vain.,Çabaları boşunaydı.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,eight,"sekiz, ambar, sekiz rakamı",isim,A1,,Get me up at eight.,Beni sekizde uyandırın.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,either,"iki, her, her iki",isim,B1,,I don't know either.,Ben de bilmiyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,election,"seçim, intihap, tercih",isim,B2,,He won the next election.,"O, bir sonraki seçimi kazandı."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,electricity,"elektrik, cereyan, çıngı",isim,C1,,There's no more electricity.,Artık elektrik yok.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,element,"eleman, unsur, doğa şartları",isim,B2,,Motivation is a key element.,Motivasyon anahtar unsurdur.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,elements,"ilk adımlar, başlangıç, doğa güçleri",isim,B2,,Iridium is one of the rarest elements.,İridyum en ender elementlerden biridir.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,elevate,"aklı/ruhu geliştirmek, terfi ettirmek, yükseltmek",fiil,B2,,The research committee agreed to elevate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi aklı/ruhu geliştirmek konusunda mutabık kaldı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,elevated,"keyifli, yüksek, yüce",sıfat,B2,,The empirical results of the study were remarkably elevated.,Çalışmanın ampirik sonuçlarının son derece keyifli olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,eliciting,"aydınlığa çıkartma, sağlama, temin etme",isim,B2,,The investigation highlighted the critical role of eliciting.,Soruşturma aydınlığa çıkartma kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,eliminate,"elemek, ekarte etmek, ortadan kaldırmak",fiil,B2,,We can eliminate parking fees.,Park ücretlerini ortadan kaldırabiliriz
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,emerge,"ortaya çıkmak, meydana çıkmak, sudur etmek",fiil,B1,,She emerged from the kitchen.,"O, mutfaktan çıktı."
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",emissions,emisyonlar,isim,B2,,It is said that global warming is directly related to carbon dioxide emissions.,Küresel ısınmanın karbondioksit emisyonu ile doğrudan ilgili olduğu söyleniyor.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,emit,"atmak, yayınlamak, belirtmek",fiil,B1,,The research committee agreed to emit the proposed methodology.,Araştırma komitesi önerilen metodolojiyi atmak konusunda mutabık kaldı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,emotional,"dokunaklı, duygusal, hissi",sıfat,B2,,I was a bit emotional.,Ben biraz duygusaldım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,employ,"işe almak, çalıştırmak, kullanmak",fiil,B1,,They don't employ enough people.,Yeteri kadar insan çalıştırmıyorlar.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,employe,"bir başkası hesabına ücret karşılığında çalışan kimse, çalışan, memur",isim,B2,,I'm one of your employees.,Ben çalışanlarınızdan biriyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,employee,"işçi, eleman, çalışan",isim,B2,,I'm a bank employee.,Ben bir banka personeliyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,employer,"işveren, patron, çalıştıran",isim,B2,,You should speak with your employer.,Patronunla konuşmalısın.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,empower,"izin vermek, yetki vermek, güçlendirmek",isim,B2,,I want to empower the people.,İnsanları güçlendirmek istiyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,empowering,"salahiyet tanıma, müsaade etme, salahiyet verme",isim,C1,,The investigation highlighted the critical role of empowering.,Soruşturma salahiyet tanıma kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,encourage,"cesaretlendirmek, yüreklendirmek, özendirmek",fiil,B2,"foster, stimulate, support, inspire",I encourage you to do so.,Ben sizi öyle yapmaya teşvik ediyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,endanger,"tehlikeye atmak, zarar vermek, kayıp vermek",isim,B2,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,endangered,"tehlikeye atılmış, tehlikede, nesli tükenmekte olan",sıfat,C1,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,endeavor,"çabalamak, gayret etmek, uğraşmak",isim,B2,,This is a worthwhile endeavor.,Bu değerli bir çaba.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",energies,"avrupa yenilenebilir enerji birliği, özgül sinir enerjisi doktrini, özgül sinir enerjileri",isim,B2,,I concentrated all my energies on the problem.,Tüm enerjimi sorun üzerinde yoğunlaştırdım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",energy,"enerji, kuvvet, derman",isim,B1,,He is full of energy.,O kişi çok enerjik.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,engaged,"bağlanmış, meşgul, nişanlı",sıfat,B2,,I'm engaged to Tom.,Ben Tom'la nişanlıyım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,engine,"motor, makine takmak, itfaiye arabası",isim,B1,,I got the engine going.,Motoru çalıştırdım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,engineer,"mühendis, mühendisliğini yapmak, planlayıp düzenlemek",isim,B2,,I'm not an engineer.,Ben bir mühendis değilim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,engineers,mühendisler,isim,B2,,We're looking for engineers.,Mühendis arıyoruz.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,enhance,"arttırmak, yükseltmek, artırmak",isim,B2,"improve, boost, strengthen",Can we enhance the image?,Görüntüyü büyütebilir miyiz?
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,enhancement,"artırılma, iyileştirme, artış",isim,C1,,Numerous other enhancements were added.,Sayısız başka iyileştirme eklendi.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,enigma,"bilmece, gizem, anlaşılmaz kimse",isim,B1,,The investigation highlighted the critical role of enigma.,Soruşturma bilmece kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,enlarge,"genişlemek, boyutunu büyütmek, büyütmek",fiil,B2,,They're going to enlarge their store.,Onlar mağazalarını büyütecek.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,enough,"kafi, yeterli, yeter",sıfat,B1,,I hope it's enough.,Umarım o yeterlidir.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,ensure,"sağlama almak, sağlamak, garantiye almak",fiil,B1,,I'll do my best to ensure that such mistakes don't occur in the future.,Bu tür hataların gelecekte olmamasını sağlamak için elimden geleni yapacağım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,ensuring,sigortalama,isim,B2,,The investigation highlighted the critical role of ensuring.,Soruşturma sigortalama kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,enters,"depresyona girmiş, karamsarlığa düşmüş, çaresizliğe/umutsuzluğa düşmüş",isim,B1,,Make sure that nobody enters.,Kimsenin girmediğinden emin ol.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,entertain,"eğlendirmek, oyalamak, ağırlamak",fiil,B2,,Will you entertain the guests while I get dressed?,Ben giyinirken misafirleri eğlendirir misin?
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,entertained,"ağırlanmış, eğlendirilmiş, meşgul edilmiş",sıfat,C1,,They entertained us at dinner.,Bizi akşam yemeğinde ağırladılar.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,entertainment,"eğlence, alem, ziyafet",isim,C1,,Music is a form of entertainment.,Müzik bir eğlence şeklidir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,enthusiasm,"heves, coşkunluk, coşku",isim,C1,,I love Tom's enthusiasm.,Tom'un hevesini seviyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,entire,"bütün, tüm, tamam",sıfat,B1,,I read the entire book.,Tüm kitabı okudum.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),entirely,"tümüyle, külliyen, büsbütün",zarf,B2,,I'm entirely to blame.,Tamamen suçlanacağım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",environment,"çevre, ortam, etraf",isim,C1,,It's a hostile environment.,Bu düşmanca bir ortam.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,environmental,"çevre, çevresel, muhite ait",sıfat,C1,,This is a major environmental disaster.,Bu büyük bir çevre felaketi.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",environments,"endüstriyel ortamlar, daha zorlu ortamlarda, finansal çevreler",isim,C1,,Rural environments are too quiet for me.,Kırsal ortamlar benim için çok sessiz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,equal,"denk, eşit, muadili olmak",sıfat,B1,,I am not equal to it.,Ben ona uygun değilim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,equilibrium,"denge, balans, kararlılık",isim,C1,,The investigation highlighted the critical role of equilibrium.,Soruşturma denge kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,equipment,"teçhizat, araç gereç, donanım",isim,B2,,All equipment must be sanitized.,Tüm ekipmanlar dezenfekte edilmelidir.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,eradicate,"kökünü kurutmak, kökünden söküp atmak, kökünden sökmek",fiil,B2,,The way to reduce crime is to eradicate poverty.,Suçu azaltmanın yolu yoksulluğu ortadan kaldırmaktır.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,es,"es, aynştayniyum'un kimyasal simgesi, aynştanyumun simgesi",isim,B1,,The investigation highlighted the critical role of es.,Soruşturma es kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),especially,"özellikle, hele, ille",zarf,C1,,It is especially hot today.,Hava bugün özellikle çok sıcak.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,essential,"ana, esas, esaslı",sıfat,B2,,Food is essential to life.,Gıda yaşam için elzemdir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,establish,"kanıtlamak, kurmak, tesis etmek",sıfat,B2,,Let's establish some ground rules.,Bazı temel kurallar belirleyelim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,establishing,"tesis, kurma, tesbit",isim,C1,,The investigation highlighted the critical role of establishing.,Soruşturma tesis kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,establishment,"kuruluş, kurum, tesis",isim,C1,,The investigation highlighted the critical role of establishment.,Soruşturma kuruluş kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,estimate,"kestirmek, tahmin etmek, tahmin",fiil,B2,,Can you estimate its value?,Onun değerini tahmin edebilir misin?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,european,"avrupalı, frenk, avrupai",sıfat,B2,,Spain is a European country.,İspanya bir Avrupa ülkesidir.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,europeans,avrupalılar,isim,B2,,Europeans like to drink wine.,Avrupalılar şarap içmek isterler.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,evaluate,"değerlendirmek, ölçmek, değerlendirmeye almak",fiil,B2,,It's difficult to evaluate his ability.,Onun yeteneğini değerlendirmek zordur.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,evaluation,"değerlendirme, ölçüm, değer tahmini",isim,C1,,We want a complete evaluation.,Tam bir değerlendirme istiyoruz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,even,"düzgün, düz, pürüzsüz",sıfat,B1,,I won't even try.,Denemeyeceğim bile.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,event,"olay, aksiyon, yarışma",isim,B1,,The event is on Monday.,Olay pazartesi günü.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,ever,"durmadan, her zaman, daima",fiil,B1,,Don't ever let go.,Hiç bırakma.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,every,"her, bütün, alışılmış",sıfat,B1,,I see it every day.,Onu her gün görüyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,everybody,"cümle alem, dost düşman, herkes",zamir,B2,,He's nice to everybody.,O herkese karşı naziktir.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,everyone,"herkes, elalem, el alem",zamir,B2,,He's mad at everyone.,O herkese kızgın.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,everywhere,"her yer, her yere, her taraf",fiil,C1,,Cops can't be everywhere.,Polisler her yerde olamazlar.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,evidence,"kanıt, delil, açığa vurmak",isim,B2,,I need to see evidence.,Kanıt görmem gerek.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,evident,"belli, vazıh, açık",sıfat,B2,,It is evident that he did it.,Onun onu yaptığı bellidir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,evil,"fenalık, kötülük, kötü",isim,B1,,He is an evil man.,O kötü bir adam.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,evolution,"evrim, gelişim, arka arkaya gelme",isim,B2,,Do you believe in evolution?,Evrime inanıyor musun?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,evolve,"evrim geçirmek, yavaş yavaş gelişmek, gelişmek",fiil,B1,,We did not evolve from monkeys. We share a common ancestor.,Biz maymunlardan evrim geçirmedik. Ortak bir atayı paylaşıyoruz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,evolving,"gelişmekte olan, gitgide gelişen, gitgide evrimleşen",sıfat,B2,,The empirical results of the study were remarkably evolving.,Çalışmanın ampirik sonuçlarının son derece gelişmekte olan olduğu görüldü.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",examination,"inceleme, muayene, sınav",isim,C1,,He took an oral examination.,"O, bir sözlü sınava girdi."
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,examine,"muayene etmek, incelemek, yoklamak",fiil,B2,,I'll have to examine you.,Seni muayene etmem gerekecek.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,examining,"inceleme, soruşturma, tahkikat",isim,B2,,The police were examining their bags.,Polis onların çantalarını inceliyordu.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",excavation,"kazı, kazma, hafriyat",isim,C1,"digging, mining, unearthing",Human remains were found during the excavation.,Kazı sırasında insan kalıntıları bulundu.
